RegionType,RegionName,StateName,MSAName,AllHomes_Tier1,AllHomes_Tier2,AllHomes_Tier3,AllHomes_AllTiers,UWHomes_Tier1,UWHomes_Tier2,UWHomes_Tier3,UWHomes_AllTiers,UWHomes_TotalValue_Tier1,UWHomes_TotalValue_Tier2,UWHomes_TotalValue_Tier3,UWHomes_TotalValue_AllTiers,UWHomes_MedianValue_AllTiers,AllHomes_Tier1_ShareUW,AllHomes_Tier2_ShareUW,AllHomes_Tier3_ShareUW,AllHomes_AllTiers_ShareUW,UWHomes_ShareInTier1,UWHomes_ShareInTier2,UWHomes_ShareInTier3
County,Fairfax,Virginia,NA,106439,107040,115052,328531,183,228,102,513,39321710,75672280,92771098,207765088,250134,0.001719295,0.002130045,8.87E-04,0.001561496,0.356725146,0.444444444,0.198830409
County,Flagler,Florida,NA,14729,15115,16397,46241,729,809,2082,3620,122115787,208220632,1089316340,1419652759,329640.5,0.049494195,0.05352299,0.126974447,0.078285504,0.201381215,0.223480663,0.575138122
County,Hancock,Mississippi,NA,5212,4912,5036,15160,576,697,591,1864,43244651,83437263,143958527,270640441,117761.5,0.110514198,0.141897394,0.117355044,0.122955145,0.309012876,0.373927039,0.317060086
County,Harford,Maryland,NA,30718,30707,30291,91716,23,121,162,306,4031285,26517081,65014555,95562921,271729,7.49E-04,0.00394047,0.005348123,0.003336386,0.075163399,0.395424837,0.529411765
County,Jackson,Mississippi,NA,16014,15957,15256,47227,562,585,1146,2293,33279407,59214056,290726286,383219749,125196,0.035094292,0.036661027,0.075117986,0.048552735,0.245093764,0.255124291,0.499781945
County,Liberty,Georgia,NA,5581,5528,4245,15354,140,235,58,433,15390895,40216698,17710188,73317781,149466,0.02508511,0.042510854,0.013663133,0.02820112,0.323325635,0.542725173,0.133949192
County,Lincoln,Oregon,NA,8806,8745,8584,26135,495,211,141,847,84797137,51715846,55198014,191710997,190243,0.056211674,0.024128073,0.016425909,0.032408647,0.584415584,0.249114522,0.166469894
County,Manatee,Florida,NA,47507,49824,47280,144611,6402,5971,6726,19099,1549382799,2506412630,5613991831,9669787260,377205,0.134759088,0.119841843,0.142258883,0.132071557,0.335200796,0.312634169,0.352165035
County,Mathews,Virginia,NA,791,770,779,2340,119,143,216,478,18626502,31079194,87160378,136866074,242252,0.150442478,0.185714286,0.277278562,0.204273504,0.248953975,0.29916318,0.451882845
County,Newport,Rhode Island,NA,10386,10367,10379,31132,215,324,288,827,57605364,149449107,341725462,548779933,464511,0.020700944,0.031253014,0.027748338,0.026564307,0.259975816,0.391777509,0.348246675
County,Norfolk,Massachusetts,NA,60362,61005,61368,182735,1393,1025,1016,3434,433994337,472093421,812992765,1719080523,428860,0.023077433,0.016801901,0.01655586,0.01879224,0.405649388,0.298485731,0.295864881
County,Orleans,Louisiana,NA,32475,32301,32536,97312,46,317,161,524,5278392,70689132,65646469,141613993,248180,0.001416474,0.009813938,0.004948365,0.005384742,0.08778626,0.604961832,0.307251908
County,Pacific,Washington,NA,1462,1438,1476,4376,97,75,85,257,10165651,14062912,28374842,52603405,179054,0.066347469,0.052155772,0.057588076,0.058729433,0.377431907,0.291828794,0.3307393
County,Pamlico,North Carolina,NA,1595,1563,1412,4570,457,492,566,1515,47628650,89941541,218802590,356372781,192534,0.286520376,0.314779271,0.400849858,0.331509847,0.301650165,0.324752475,0.37359736
County,Suffolk,Massachusetts,NA,46745,45421,45643,137809,5120,6598,13282,2.50E+04,1921054485,3819470050,20750765246,26491289781,707741.5,0.109530431,0.145263204,0.290997524,0.181410503,0.2048,0.26392,0.53128
County,Suffolk,New York,NA,152738,152045,156175,460958,4353,4699,15155,24207,1819874318,3152201976,16614267374,21586343668,531009,0.028499784,0.030905324,0.097038579,0.052514546,0.179824018,0.194117404,0.626058578
County,Tyrrell,North Carolina,NA,85,113,132,330,72,101,106,279,6316935,11947693,24271495,42536123,126822,0.847058824,0.89380531,0.803030303,0.845454545,0.258064516,0.362007168,0.379928315
County,Ventura,California,NA,74241,73887,74084,222212,229,40,1389,1658,114140212,40966024,1582331133,1737437369,863896,0.003084549,5.41E-04,0.018748988,0.007461343,0.138118215,0.024125452,0.837756333
County,Volusia,Florida,NA,64656,64553,67288,196497,8552,5749,7128,21429,946170560,1071472883,3142538776,5160182219,173074,0.13226924,0.089058603,0.105932707,0.1090551,0.399085352,0.268281301,0.332633347
County,Wakulla,Florida,NA,4166,3924,3727,11817,331,463,624,1418,29793425,73555419,179587994,282936838,173853.5,0.079452712,0.117991845,0.167426885,0.119996615,0.233427362,0.32651622,0.440056417
County,Whatcom,Washington,NA,29239,30413,30956,90608,2033,812,1247,4092,277373356,206990203,700072400,1184435959,211919,0.069530422,0.026699109,0.040282982,0.045161575,0.496823069,0.198435973,0.304740958
County,Willacy,Texas,NA,1324,1335,1249,3908,31,43,69,143,1666115,2914559,9710553,14291227,84449,0.023413897,0.032209738,0.055244195,0.036591607,0.216783217,0.300699301,0.482517483
County,Accomack,Virginia,NA,1715,1739,1700,5154,532,531,742,1805,83315270,109582874,226333780,419231924,224181,0.310204082,0.305347901,0.436470588,0.350213426,0.294736842,0.294182825,0.411080332
County,Atlantic,New Jersey,NA,34185,34117,34088,102390,9116,9575,8597,27288,1839973395,2889689639,5576645885,10306308919,264441,0.266666667,0.280651874,0.252200188,0.266510401,0.334066256,0.350886837,0.315046907
County,Beaufort,North Carolina,NA,1289,1069,1043,3401,255,201,190,646,18073010,26697811,55132688,99903509,116902.5,0.197827773,0.188026193,0.182166826,0.189944134,0.394736842,0.311145511,0.294117647
County,Beaufort,South Carolina,NA,23101,26632,27519,77252,6632,5542,9132,21306,1252673418,2044405357,8335603618,11632682393,382465.5,0.287087139,0.208095524,0.331843454,0.275798685,0.31127382,0.260114522,0.428611659
County,Berkeley,South Carolina,NA,19881,19934,21766,61581,136,312,1398,1846,20947865,68351504,1049373862,1138673231,468200,0.006840702,0.01565165,0.064228613,0.029976779,0.073672806,0.169014085,0.757313109
County,Brazoria,Texas,NA,36710,38106,31551,106367,1565,1225,776,3566,167247309,204911076,208157655,580316040,138830.5,0.042631436,0.032147168,0.0245951,0.033525436,0.438867078,0.343522154,0.217610768
County,Cape May,New Jersey,NA,26761,26768,27331,80860,15409,15577,14771,45757,5186292733,9009558233,15072365297,29268216263,442452,0.575800605,0.581926181,0.540448575,0.565879298,0.336757217,0.340428787,0.322813996
County,Caroline,Maryland,NA,4891,4770,4806,14467,70,34,48,152,9097076,6132235,18426248,33655559,167979.5,0.014312002,0.007127883,0.009987516,0.01050667,0.460526316,0.223684211,0.315789474
County,Carteret,North Carolina,NA,13555,13843,12927,40325,3195,3308,4650,11153,401415385,731508967,2316936951,3449861303,244691,0.235706381,0.238965542,0.35971223,0.276577805,0.286470008,0.296601811,0.416928181
County,Chambers,Texas,NA,2774,4930,5603,13307,136,189,110,435,14355649,26889809,34359572,75605030,140965,0.049026676,0.038336714,0.01963234,0.032689562,0.312643678,0.434482759,0.252873563
County,Colleton,South Carolina,NA,5454,5273,4968,15695,545,847,643,2035,125684798,306827935,376768027,809280760,370944,0.099926659,0.160629623,0.129428341,0.129659127,0.267813268,0.416216216,0.315970516
County,Columbia,Oregon,NA,5339,5302,4904,15545,49,52,42,143,9008519,11874878,19087505,39970902,220317,0.009177749,0.00980762,0.008564437,0.009199099,0.342657343,0.363636364,0.293706294
County,Delaware,Pennsylvania,NA,60682,61954,59944,182580,108,130,155,393,11266307,16286820,25995546,53548673,134534,0.00177977,0.002098331,0.002585747,0.002152481,0.27480916,0.330788804,0.394402036
County,Escambia,Florida,NA,36499,37248,39013,112760,160,937,3917,5014,13429112,221626487,1778557602,2013613201,354918,0.004383682,0.025155713,0.10040243,0.044466123,0.03191065,0.186876745,0.781212605
County,Franklin,Florida,NA,2070,2322,2522,6914,132,620,865,1617,29591944,212850206,572707293,815149443,399599,0.063768116,0.267011197,0.342981761,0.233873301,0.081632653,0.383426098,0.534941249
County,Harrison,Mississippi,NA,19011,18926,19336,57273,244,336,586,1166,21424806,42954595,167121235,231500636,159698.5,0.012834675,0.017753355,0.030306165,0.020358633,0.209262436,0.288164666,0.502572899
County,Hernando,Florida,NA,25150,25377,22049,72576,703,749,738,2190,111657288,171107106,273446771,556211165,235471,0.027952286,0.029514915,0.033470906,0.030175265,0.321004566,0.342009132,0.336986301
County,Honolulu,Hawaii,NA,87087,87035,88895,263017,15759,11788,6310,33857,5534512899,7516632479,10247130899,23298276277,501994,0.180956974,0.135439766,0.07098262,0.12872552,0.46545766,0.348170245,0.186372094
County,Humboldt,California,NA,12176,12169,12098,36443,247,224,95,566,54360124,62974813,35176621,152511558,256191.5,0.020285808,0.018407429,0.007852538,0.015531103,0.43639576,0.395759717,0.167844523
County,McIntosh,Georgia,NA,685,702,700,2087,14,56,114,184,1309153,10596653,44377336,56283142,281473,0.020437956,0.07977208,0.162857143,0.08816483,0.076086957,0.304347826,0.619565217
County,Monmouth,New Jersey,NA,68731,69932,69011,207674,4822,3205,3457,11484,1205452896,1425104660,3213279939,5843837495,319620.5,0.070157571,0.045830235,0.050093463,0.055298208,0.419888541,0.279083943,0.301027517
County,New York,New York,NA,1883,24068,82095,108046,2,690,2533,3225,1068186,5.57E+08,9030578991,9588907177,1624442,0.001062135,0.028668772,0.030854498,0.029848398,6.20E-04,0.213953488,0.785426357
County,Okaloosa,Florida,NA,25926,27480,28213,81619,904,911,1855,3670,143645494,232799218,1130612989,1507057701,316126.5,0.034868472,0.033151383,0.065749832,0.04496502,0.246321526,0.248228883,0.505449591
County,Pinellas,Florida,NA,130251,131439,125039,386729,23463,21135,31554,76152,3700920590,5980936233,21134062495,30815919318,291823,0.180136813,0.160797024,0.252353266,0.196913084,0.308107469,0.277537031,0.4143555
County,Plymouth,Massachusetts,NA,52725,52629,52437,157791,2564,2119,1866,6549,809521980,913655869,1486574001,3209751850,404853,0.048629682,0.040262973,0.03558556,0.041504268,0.391510154,0.323560849,0.284928997
County,Richmond,New York,NA,77999,32519,5666,116184,1114,142,20,1276,479569140,99051427,25664752,604285319,453958.5,0.014282234,0.004366678,0.003529827,0.010982579,0.873040752,0.111285266,0.015673981
County,Rockland,New York,NA,23095,23057,23076,69228,50,45,106,201,14244128,17289915,93300306,124834349,434327,0.002164971,0.001951685,0.004593517,0.002903449,0.248756219,0.223880597,0.527363184
County,San Juan,Washington,NA,2688,2844,4705,10237,79,199,213,491,25262519,99930790,165089252,290282561,518149,0.029389881,0.069971871,0.045270988,0.04796327,0.16089613,0.405295316,0.433808554
County,Sarasota,Florida,NA,66230,64295,68870,199395,5810,4534,10301,20645,1418028279,2225574081,12132583266,15776185626,489562,0.087724596,0.070518703,0.149571657,0.103538203,0.281424074,0.219617341,0.498958586
County,Somerset,Maryland,NA,4564,4537,4561,13662,2594,2513,2476,7583,180389250,238270565,514578033,933237848,90164,0.568361087,0.553890236,0.542863407,0.555043185,0.342080971,0.331399182,0.326519847
County,Stafford,Virginia,NA,12032,14134,16284,42450,15,65,50,130,3897418,21450085,26796708,52144211,346778.5,0.001246676,0.00459884,0.003070499,0.003062426,0.115384615,0.5,0.384615385
County,Thurston,Washington,NA,20391,32115,41917,94423,7,20,357,384,1153967,4162283,213965809,219282059,499700.5,3.43E-04,6.23E-04,0.008516831,0.004066806,0.018229167,0.052083333,0.9296875
County,Wicomico,Maryland,NA,13059,13057,12619,38735,250,314,495,1059,23231748,39037291,141510552,203779591,138008,0.019143885,0.024048403,0.039226563,0.027339615,0.236071766,0.296506138,0.467422096
County,Ascension,Louisiana,NA,13502,13671,13620,40793,1704,1289,1363,4356,262250523,247489571,388057218,897797312,185758,0.126203525,0.094287177,0.100073421,0.106783026,0.391184573,0.295913682,0.312901745
County,Baltimore,Maryland,NA,81135,91160,90717,263012,367,652,2684,3703,50974292,134988729,992696847,1178659868,282375,0.004523325,0.00715226,0.029586516,0.014079206,0.099108831,0.176073454,0.724817715
County,Brunswick,North Carolina,NA,27660,24226,20442,72328,926,2129,4585,7640,251595205,751216950,2675163687,3677975842,420496,0.033477946,0.087880789,0.224293122,0.105629908,0.121204188,0.278664921,0.60013089
County,Calcasieu,Louisiana,NA,14704,14468,14905,44077,194,297,526,1017,19005235,47422178,202583538,269010951,196288,0.013193689,0.020528062,0.035290171,0.023073258,0.190757129,0.292035398,0.517207473
County,Charlotte,Florida,NA,31124,30606,29880,91610,5175,4473,7451,17099,722303749,1139798393,3975390644,5837492786,259901,0.166270402,0.146147814,0.249364123,0.186649929,0.302649278,0.261594245,0.435756477
County,Currituck,North Carolina,NA,2786,2833,2876,8495,984,875,956,2815,184463897,252942059,426469014,863874970,255749,0.353194544,0.308859866,0.33240612,0.331371395,0.34955595,0.310834813,0.339609236
County,Fairfield,Connecticut,NA,84535,84952,85028,254515,2326,1895,3475,7696,560871962,1210409786,6041230516,7812512264,593282.5,0.02751523,0.022306714,0.04086889,0.030237903,0.302234927,0.246231809,0.451533264
County,Galveston,Texas,NA,36524,42251,38222,116997,4959,5475,7768,18202,739252553,1223889140,3635653894,5598795587,244177.5,0.135773738,0.129582732,0.20323374,0.155576639,0.272442589,0.300791122,0.426766289
County,Iberville,Louisiana,NA,2338,2136,2210,6684,161,171,151,483,14286325,20496052,24459758,59242135,122462,0.068862275,0.08005618,0.068325792,0.072262118,0.333333333,0.354037267,0.3126294
County,Jefferson,Louisiana,NA,39320,39354,39073,117747,540,514,592,1646,55703433,71733631,135633595,263070659,139861.5,0.013733469,0.013060934,0.015151127,0.013979125,0.328068044,0.312272175,0.359659781
County,Jefferson,Texas,NA,28468,28380,28334,85182,136,283,249,668,8546606,24595324,44188614,77330544,93219,0.004777294,0.009971811,0.008788029,0.007842032,0.203592814,0.423652695,0.372754491
County,Jefferson,Washington,NA,4884,4886,4912,14682,43,89,121,253,10067643,30212602,66486871,106767116,371753,0.008804259,0.018215309,0.02463355,0.017231985,0.169960474,0.351778656,0.47826087
County,Lafourche,Louisiana,NA,10731,10209,10326,31266,4769,3820,4327,12916,443847258,545610846,1067757805,2057215909,139792.5,0.444413382,0.374179645,0.419039318,0.413100493,0.36923196,0.2957572,0.335010839
County,Lancaster,Virginia,NA,1746,1642,1527,4915,113,214,252,579,17102979,67122252,157680057,241905288,367110,0.064719359,0.130328867,0.16502947,0.117802645,0.195164076,0.369602763,0.435233161
County,Matagorda,Texas,NA,4161,4252,4030,12443,195,351,434,980,20627528,58280631,117573824,196481983,179753.5,0.046863735,0.082549389,0.107692308,0.078759142,0.198979592,0.358163265,0.442857143
County,Middlesex,Connecticut,NA,19151,19088,19250,57489,787,519,1013,2319,186803603,183399286,779302534,1149505423,371729,0.04109446,0.027189858,0.052623377,0.040338152,0.339370418,0.223803364,0.436826218
County,Middlesex,Massachusetts,NA,127503,128334,128754,384591,3632,3337,2316,9285,1650691733,2442720755,2999197829,7092610317,649929,0.028485604,0.026002462,0.017987791,0.024142531,0.391168551,0.359396877,0.249434572
County,Middlesex,New Jersey,NA,71401,70112,72053,213566,301,244,159,704,73570246,74162567,65944259,213677072,268245.5,0.004215627,0.003480146,0.002206709,0.003296405,0.427556818,0.346590909,0.225852273
County,Middlesex,Virginia,NA,2190,2141,2314,6645,88,231,236,555,14798136,60315831,108016057,183130024,285604,0.040182648,0.107893508,0.1019879,0.083521445,0.158558559,0.416216216,0.425225225
County,Nantucket,Massachusetts,NA,2931,2937,2960,8828,70,227,321,618,67723161,405454241,1321181691,1794359093,2242050.5,0.023882634,0.077289751,0.108445946,0.070004531,0.113268608,0.367313916,0.519417476
County,New Haven,Connecticut,NA,77648,77997,78756,234401,1115,1153,2193,4461,202156647,299903373,1410746136,1912806156,298374,0.014359674,0.01478262,0.027845497,0.019031489,0.249943959,0.258462228,0.491593813
County,Sagadahoc,Maine,NA,4198,4247,4300,12745,46,71,122,239,6616647,15802540,49006037,71425224,253692,0.010957599,0.016717683,0.028372093,0.018752452,0.192468619,0.29707113,0.510460251
County,San Diego,California,NA,258249,258273,264439,780961,497,538,2048,3083,388765253,456554971,3529098840,4374419064,1041771,0.001924499,0.002083067,0.007744697,0.0039477,0.161206617,0.174505352,0.664288031
County,Snohomish,Washington,NA,78804,79043,77446,235293,346,169,520,1035,87359151,63616008,347274413,498249572,413271,0.00439064,0.002138077,0.006714356,0.004398771,0.334299517,0.163285024,0.502415459
County,Tillamook,Oregon,NA,5351,5336,5553,16240,244,158,77,479,49895297,45751072,32791085,128437454,243621,0.045598953,0.029610195,0.013866379,0.029495074,0.509394572,0.329853862,0.160751566
County,Vermilion,Louisiana,NA,4779,4809,4644,14232,953,1213,769,2935,73619710,132087412,115994634,321701756,102260,0.199414103,0.252235392,0.165590009,0.206225408,0.324701874,0.413287905,0.262010221
County,Wahkiakum,Washington,NA,506,531,548,1585,112,93,60,265,18416397,23285982,20188107,61890486,219806,0.221343874,0.175141243,0.109489051,0.167192429,0.422641509,0.350943396,0.226415094
County,Worcester,Maryland,NA,20248,20874,20133,61255,9804,9014,10111,28929,1447216394,2118754525,4716919380,8282890299,238421,0.48419597,0.43182907,0.502210301,0.472271651,0.338898683,0.311590446,0.349510871
County,Assumption,Louisiana,NA,1486,1475,1451,4412,720,712,645,2077,71933141,88266849,139677425,299877415,124693,0.484522207,0.482711864,0.44452102,0.470761559,0.346653828,0.342802118,0.310544054
County,Barnstable,Massachusetts,NA,45345,45358,45258,135961,1651,1395,3304,6350,441589254,701725378,4205784336,5349098968,588650,0.036409747,0.030755324,0.073003668,0.04670457,0.26,0.219685039,0.520314961
County,Burlington,New Jersey,NA,48097,49065,47686,144848,2477,787,426,3690,336168116,151075729,135023352,622267197,148285.5,0.051500094,0.016039947,0.00893344,0.025474981,0.671273713,0.213279133,0.115447154
County,Charleston,South Carolina,NA,45654,44309,39170,129133,8587,9993,16212,34792,2695986269,5305465190,17400059665,25401511124,519644,0.188088667,0.225529802,0.41388818,0.269427644,0.246809611,0.2872212,0.465969188
County,Cumberland,Maine,NA,30748,31009,31154,92911,138,253,413,804,27347675,94338488,241050660,362736823,456559.5,0.004488097,0.008158922,0.013256725,0.008653443,0.171641791,0.314676617,0.513681592
County,Cumberland,New Jersey,NA,14151,14322,13868,42341,630,463,489,1582,65910828,65822131,102145208,233878167,137778,0.044519822,0.032327887,0.035261033,0.037363312,0.398230088,0.292667509,0.309102402
County,Dorchester,Maryland,NA,6193,6251,6118,18562,757,1119,2145,4021,85301703,182531950,739258219,1007091872,208306,0.122234781,0.179011358,0.350604773,0.216625364,0.188261626,0.278288983,0.533449391
County,Dorchester,South Carolina,NA,13454,16298,17687,47439,22,10,130,162,3222992,1746700,41870705,46840397,221283.5,0.001635201,6.14E-04,0.007350031,0.003414912,0.135802469,0.061728395,0.802469136
County,Georgetown,South Carolina,NA,8366,8805,10229,27400,538,790,3541,4869,81630124,198142598,2515478417,2795251139,524142,0.064307913,0.089721749,0.346172646,0.17770073,0.110494968,0.162250976,0.727254056
County,Gloucester,New Jersey,NA,31172,31385,31426,93983,586,462,530,1578,76823534,74769119,118587679,270180332,156841.5,0.018798922,0.014720408,0.016865016,0.016790271,0.371356147,0.292775665,0.335868188
County,Gloucester,Virginia,NA,4793,4879,4690,14362,538,452,859,1849,82880216,98048110,357552796,538481122,241072,0.112247027,0.092641935,0.18315565,0.128742515,0.290968091,0.244456463,0.464575446
County,James City,Virginia,NA,7883,9239,9541,26663,72,111,139,322,12577516,29526478,71316538,113420532,298811.5,0.009133579,0.012014287,0.014568703,0.012076661,0.223602484,0.344720497,0.431677019
County,Livingston,Louisiana,NA,10170,11070,10506,31746,344,439,326,1109,52392467,82064416,94233357,228690240,179418,0.033824975,0.03965673,0.031029888,0.034933535,0.31018936,0.395852119,0.293958521
County,Miami-Dade,Florida,NA,242113,247263,272697,762073,98688,72373,70582,241643,17902607454,24009009259,72138429276,1.1405E+11,254032.5,0.407611322,0.292696441,0.258829397,0.317086421,0.408404133,0.299503813,0.292092053
County,New Castle,Delaware,NA,43494,60464,70052,174010,529,356,334,1219,54571115,64114042,109122175,227807332,164936,0.012162597,0.005887801,0.004767887,0.007005345,0.433962264,0.292042658,0.273995078
County,New London,Connecticut,NA,25700,25587,25587,76874,204,240,608,1052,74553907,113747725,458200384,646502016,511473,0.007937743,0.009379763,0.023762067,0.013684731,0.19391635,0.228136882,0.577946768
County,Palm Beach,Florida,NA,179209,183997,204562,567768,9949,11152,15605,36706,2044879675,4692364831,26107758966,32845003472,358363,0.055516185,0.060609684,0.076284941,0.064649646,0.271045606,0.303819539,0.425134855
County,Pasquotank,North Carolina,NA,4032,4012,4009,12053,1690,923,1133,3746,127761989,122272087,306918624,556952700,119567,0.419146825,0.230059821,0.282614118,0.310793993,0.451147891,0.246396156,0.302455953
County,Perquimans,North Carolina,NA,998,1027,1010,3035,126,128,173,427,12595736,19378668,55741966,87716370,164348,0.126252505,0.124634859,0.171287129,0.140691928,0.295081967,0.299765808,0.405152225
County,Rockingham,New Hampshire,NA,39160,39230,39345,117735,1441,779,1313,3533,258335299,331064525,1057344618,1646744442,353837,0.036797753,0.019857252,0.033371458,0.030008069,0.407868667,0.220492499,0.371638834
County,Saint Mary,Louisiana,NA,3795,3998,3632,11425,554,674,397,1625,36092429,60481229,69242788,165816446,81791,0.145981555,0.168584292,0.109306167,0.142231947,0.340923077,0.414769231,0.244307692
County,Santa Rosa,Florida,NA,20951,20141,18373,59465,494,699,1639,2832,73583588,164875329,776319177,1014778094,277449.5,0.023578827,0.034705327,0.089206989,0.047624653,0.174435028,0.246822034,0.578742938
County,Tangipahoa,Louisiana,NA,9324,9122,9594,28040,60,46,47,153,7604599,7417021,11271378,26292998,155842,0.006435006,0.005042754,0.004898895,0.005456491,0.392156863,0.300653595,0.307189542
County,Terrebonne,Louisiana,NA,10203,10630,10483,31316,6658,6651,7169,20478,659080046,946882981,1816775445,3422738472,139859,0.652553171,0.625682032,0.683869121,0.653914932,0.325129407,0.324787577,0.350083016
County,Washington,North Carolina,NA,1062,1030,979,3071,122,148,128,398,7436956,13901553,23828868,45167377,89117,0.114877589,0.14368932,0.130745659,0.129599479,0.306532663,0.371859296,0.32160804
County,Washington,Rhode Island,NA,16607,17334,19306,53247,334,341,1604,2279,104784083,151598544,1446403323,1702785950,614542,0.020112001,0.01967232,0.083082979,0.042800533,0.146555507,0.149627029,0.703817464
County,Los Angeles,California,NA,641100,642813,671008,1954921,333,483,4487,5303,161744280,466427084,6918795614,7546966978,1094659,5.19E-04,7.51E-04,0.006686955,0.002712642,0.062794645,0.09108052,0.846124835
County,New Hanover,North Carolina,NA,29548,31726,29955,91229,2364,2360,3723,8447,704575632,1189305140,3675377494,5569258266,406239,0.080005415,0.074386938,0.12428643,0.092591172,0.279862673,0.279389132,0.440748195
County,Northampton,Virginia,NA,535,584,568,1687,64,67,69,200,10963276,18072385,31800013,60835674,269961.5,0.119626168,0.114726027,0.121478873,0.118553646,0.32,0.335,0.345
County,Plaquemines,Louisiana,NA,1743,1835,1944,5522,7,27,69,103,744742,3996415,22949176,27690333,232239,0.004016064,0.014713896,0.035493827,0.018652662,0.067961165,0.262135922,0.669902913
County,Queen Annes,Maryland,NA,7119,7718,7538,22375,882,755,879,2516,214201133,264026110,567987850,1046215093,338901,0.123893805,0.09782327,0.11660918,0.112446927,0.350556439,0.300079491,0.34936407
